Time (s),Channel 1 (V),Channel 2 (V)
0.0006072448,5.046778450407228,5.075352462556792
0.0006072648,5.009811750132437,5.031381942594688
0.0006072848,5.031991770297347,5.068024042563158
0.0006073048,5.06156513051721,5.079016672553696
0.0006073248,5.009811750132464,5.03871036258839
0.0006073448,5.043081780379747,5.079016672553646
0.0006073647999999999,5.043081780379793,5.060695622569487
0.0006073847999999999,5.020901760214926,5.042374572585246
0.0006074048,5.061565130517143,5.093673512541
0.0006074248,5.031991770297374,5.057031412572615
0.0006074448,5.054171790462251,5.064359832566322
0.0006074648,5.05417179046222,5.079016672553667
0.0006074848,5.020901760214896,5.042374572585222
0.0006075048,5.065261800544709,5.079016672553701
0.0006075248,5.035688440324833,5.068024042563158
0.0006075448,5.002418410077475,5.042374572585228
0.0006075647999999999,5.050475120434678,5.075352462556792
0.0006075847999999999,5.04308178037981,5.090009302544217
0.0006076047999999999,5.006115080105031,5.031381942594814
0.0006076248,5.057868460489678,5.093673512541
0.0006076448,5.031991770297321,5.049702992578878
0.0006076648,5.024598430242416,5.035046152591595
0.0006076848,5.065261800544652,5.101001932534746
0.0006077048,5.002418410077444,5.042374572585205
0.0006077248,5.039385110352289,5.057031412572595
0.0006077448,5.054171790462237,5.079016672553681
0.0006077648,5.009811750132477,5.031381942594719
0.0006077847999999999,5.031991770297294,5.079016672553614
0.0006078048,5.039385110352259,5.075352462556759
0.0006078247999999999,5.024598430242401,5.046038782582134
0.0006078448,5.035688440324833,5.079016672553674
0.0006078648,5.043081780379768,5.064359832566292
0.0006078848,5.024598430242404,5.057031412572639
0.0006079048,5.072655140599656,5.097337722537932
0.0006079248,5.013508420159902,5.057031412572602
0.0006079448,5.031991770297326,5.046038782582059
0.0006079648,5.061565130517197,5.075352462556825
0.0006079847999999999,4.998721740050073,5.038710362588421
0.0006080047999999999,5.035688440324735,5.071688252559927
0.0006080248,5.065261800544528,5.082680882550422
0.0006080448,4.998721740050126,5.035046152591646
0.0006080648,5.072655140599609,5.097337722537904
0.0006080848,5.031991770297324,5.071688252559992
0.0006081048,5.024598430242401,5.064359832566319
0.0006081248,5.068958470572196,5.082680882550552
0.0006081448,5.028295100269866,5.057031412572614
0.0006081648,5.017205090187399,5.049702992578911
0.0006081848,5.061565130517163,5.104666142531576
0.0006082047999999999,5.020901760214949,5.064359832566375
0.0006082247999999999,5.020901760214875,5.053367202575778
0.0006082448,5.06895847057207,5.093673512540959
0.0006082648,5.013508420159963,5.031381942594728
0.0006082848,5.046778450407288,5.071688252560032
0.0006083048,5.054171790462213,5.09367351254105
0.0006083248,5.013508420159921,5.038710362588379
0.0006083448,5.054171790462251,5.0936735125411
0.0006083648,5.028295100269859,5.057031412572619
0.0006083848,5.017205090187404,5.057031412572602
0.0006084047999999999,5.061565130517143,5.082680882550505
0.0006084247999999999,5.020901760214968,5.049702992578979
0.0006084447999999999,5.050475120434684,5.071688252559941
0.0006084648,5.05786846048962,5.082680882550443
0.0006084848,5.006115080105004,5.035046152591592
0.0006085048,5.046778450407288,5.082680882550557
0.0006085248,5.054171790462224,5.086345092547374
0.0006085448,4.995025070022471,5.027717732597806
0.0006085648,5.065261800544677,5.09367351254107
0.0006085848,5.028295100269881,5.068024042563176
0.0006086048,5.020901760214885,5.049702992578929
0.0006086247999999999,5.068958470572109,5.09367351254102
0.0006086448,5.024598430242314,5.042374572585205
0.0006086647999999999,5.009811750132464,5.042374572585205
0.0006086848,5.076351810627053,5.097337722537858
0.0006087048,5.013508420159917,5.046038782582074
0.0006087248,5.024598430242404,5.060695622569489
0.0006087448,5.072655140599647,5.101001932534768
0.0006087648,4.995025070022471,5.031381942594654
0.0006087848,5.057868460489709,5.07901667255368
0.0006088048,5.039385110352331,5.075352462556857
0.0006088247999999999,5.013508420159949,5.038710362588421
0.0006088447999999999,5.05047512043468,5.082680882550451
0.0006088648,5.020901760214915,5.060695622569473
0.0006088848,5.035688440324845,5.068024042563169
0.0006089048,5.046778450407198,5.075352462556805
0.0006089248,5.002418410077484,5.049702992578929
0.0006089448,5.031991770297341,5.068024042563152
0.0006089648,5.046778450407278,5.068024042563152
0.0006089848,4.99872174004998,5.020389312604127
0.0006090048,5.068958470572132,5.08634509254734
0.0006090247999999999,5.046778450407309,5.064359832566332
0.0006090447999999999,5.002418410077525,5.038710362588401
0.0006090647999999999,5.061565130517089,5.097337722537818
0.0006090848,5.031991770297267,5.053367202575695
0.0006091048,5.002418410077565,5.027717732597919
0.0006091248,5.068958470572141,5.090009302544196
0.0006091448,5.02829510026984,5.049702992578901
0.0006091648,5.0209017602149,5.046038782582069
0.0006091848,5.076351810627168,5.079016672553701
0.0006092048,5.009811750132477,5.046038782582084
0.0006092248,5.039385110352266,5.057031412572587
0.0006092447999999999,5.065261800544662,5.090009302544191
0.0006092647999999999,5.009811750132543,5.03871036258847
0.0006092847999999999,5.039385110352225,5.079016672553591
0.0006093048,5.024598430242361,5.060695622569436
0.0006093248,5.024598430242415,5.053367202575793
0.0006093448,5.054171790462227,5.075352462556845
0.0006093648,5.028295100269844,5.068024042563144
0.0006093848,5.020901760214875,5.049702992578904
0.0006094048,5.050475120434752,5.079016672553688
0.0006094248,5.020901760214902,5.042374572585238
0.0006094447999999999,5.043081780379763,5.049702992578895
0.0006094647999999999,5.065261800544669,5.09367351254102
0.0006094848,4.972845049857816,5.005732472616927
0.0006095047999999999,5.06895847057189,5.086345092547144
0.0006095248,5.043081780379739,5.064359832566248
0.0006095448,5.013508420159957,5.03504615259158
0.0006095648,5.05417179046222,5.090009302544211
0.0006095848,5.020901760214874,5.046038782582052
0.0006096048,5.017205090187389,5.042374572585205
0.0006096248,5.080048480654598,5.097337722537901
0.0006096448,5.013508420159993,5.046038782582124
0.0006096647999999999,5.020901760214862,5.049702992578897
0.0006096847999999999,5.068958470572086,5.086345092547317
0.0006097048,5.006115080105051,5.031381942594734
0.0006097248,5.05047512043479,5.060695622569503
0.0006097448,5.061565130517137,5.082680882550458
0.0006097648,5.013508420159946,5.031381942594698
0.0006097848,5.061565130517214,5.079016672553696
0.0006098048,5.039385110352306,5.068024042563152
0.0006098248,5.020901760214883,5.03504615259152
0.0006098448,5.050475120434738,5.068024042563122
0.0006098647999999999,5.031991770297359,5.042374572585239
0.0006098847999999999,5.028295100269855,5.038710362588361
0.0006099047999999999,5.072655140599561,5.090009302544111
0.0006099248,5.017205090187439,5.031381942594696
0.0006099448,5.039385110352327,5.049702992578978
0.0006099648,5.050475120434679,5.090009302544156
0.0006099848,4.987631729967556,5.020389312604169
0.0006100048,5.050475120434763,5.090009302544243
0.0006100248,5.04677845040728,5.071688252560009
0.0006100448,4.998721740050001,5.024053522600998
0.0006100648,5.083745150682025,5.09733772253785
0.0006100847999999999,5.028295100269949,5.046038782582147
0.0006101047999999999,5.017205090187414,5.049702992578896
0.0006101247999999999,5.057868460489626,5.079016672553621
0.0006101448,5.009811750132434,5.057031412572552
0.0006101648,5.017205090187439,5.035046152591555
0.0006101848,5.054171790462227,5.071688252559971
0.0006102048,5.028295100269855,5.038710362588364
0.0006102248,5.046778450407278,5.060695622569453
0.0006102448,5.061565130517216,5.079016672553693
0.0006102648,5.017205090187429,5.046038782582084
0.0006102847999999999,5.031991770297314,5.057031412572587
0.0006103047999999999,5.050475120434723,5.064359832566285
0.0006103248,5.01720509018752,5.038710362588504
0.0006103448,5.065261800544583,5.093673512540975
0.0006103648,5.009811750132484,5.038710362588414
