Time (s),Channel 1 (V),Channel 2 (V)
0.00203697,5.026220813722534,5.061417002388203
0.0020371,5.026220813722534,5.054088582394497
0.00203723,5.033614153777504,5.061417002388196
0.00203736,5.029917483749945,5.061417002381712
0.00203749,4.974467433337778,0.3089366364783936
0.00203762,5.059490843969871,-0.01717805324540872
0.00203775,5.033614153777509,-0.0648127832046121
0.00203788,5.037310823804993,-0.08313383318886253
0.00203801,5.037310823804993,-0.09412646317938678
0.00203814,5.029917483750028,-0.09779067317624821
0.00203827,5.029917483750021,-0.09779067317625154
0.0020384,5.033614153777511,-0.1087833031668008
0.00203853,5.037310823804993,-0.1087833031668058
0.00203866,5.037310823804993,-0.1124475131636455
0.00203879,5.033614153777509,-0.1051190931699544
0.00203892,3.070682369180918,-0.1161117231604969
0.00203905,-0.04191379396105038,-0.1087833031667874
0.00203918,-0.04191379396105038,-0.09412646317942178
0.00203931,-0.06779048415343025,-0.1014548831730946
0.00203944,-0.08257716426339862,-0.105119093169951
0.00203957,-0.09366717434586058,-0.1087833031667958
0.0020397,-0.1010605144008296,-0.09779067317625653
0.00203983,-0.1010605144008296,-0.1014548831730963
0.00203996,-0.1047571844283142,-0.0977906731762532
0.00204009,-0.1010605144008313,-0.09412646317940344
0.00204022,-0.1047571844283158,-0.09779067317625154
0.00204035,-0.1047571844283158,-0.09779067317625154
0.00204048,-0.1047571844283158,-0.09779067317625154
0.00204061,-0.1047571844283158,-0.1014548831731013
0.00204074,-0.09736384437334342,-0.09412646317940344
0.00204087,-0.09736384437334845,-0.09779067317624654
0.002041,-0.101060514400838,-0.09412646317941011
0.00204113,-0.1047571844283142,-0.09779067317624987
0.00204126,-0.1010605144008296,-0.09412646317940178
0.00204139,-0.09736384437335015,-0.08679804318571227
0.00204152,-0.1047571844283024,-0.09779067317623154
0.00204165,-0.09366717434586731,-0.09412646317940511
0.00204178,-0.1010605144008296,-0.09412646317940178
0.00204191,-0.09366717434585722,-0.1051190931699477
0.00204204,-0.09366717434585722,-0.09779067317624654
0.00204217,-0.09366717434585049,-0.09412646317940844
0.0020423,-0.08997050431837271,-0.09779067317624987
0.00204243,-0.08627383429088481,2.137377424902096
0.00204256,-0.06409381412600122,5.013782272429149
0.00204269,-0.1010605144007624,5.013782272429149
0.00204282,-0.1047571844283125,5.039431742407075
0.00204295,-0.09366717434586226,5.057752792391339
0.00204308,-0.08257716426339694,5.072409632378751
0.00204321,-0.07888049423591743,5.083402262369295
0.00204334,-0.08257716426341206,5.083402262369288
0.00204347,-0.08997050431836431,5.079738052372448
0.0020436,-0.08997050431837103,5.090730682362994
0.00204373,-0.09366717434585049,5.094394892359841
0.00204386,-0.08627383429089826,5.090730682363001
0.00204399,-0.08997050431836767,5.079738052372455
0.00204412,-0.07888049423591743,5.087066472366141
0.00204425,-0.08257716426340198,5.079738052372445
0.00204438,-0.08997050431836767,5.079738052372445
0.00204451,-0.08627383429088481,5.079738052372445
0.00204464,-0.08627383429088481,5.079738052372445
0.00204477,-0.08257716426339862,5.072409632378745
0.0020449,-0.08627383429089154,5.079738052372438
0.00204503,-0.09366717434584378,5.072409632378759
0.00204516,-0.08997050431837607,5.068745422381901
0.00204529,-0.08997050431837103,5.068745422381896
0.00204542,-0.08997050431837103,5.061417002388198
0.00204555,-0.08997050431836767,5.065081212385049
0.00204568,-0.08627383429089154,5.068745422381903
0.00204581,-0.08997050431836767,5.072409632378742
0.00204594,-0.08997050431837103,5.065081212385046
0.00204607,-0.08997050431837271,5.065081212385047
0.0020462,-0.09366717434585049,5.068745422381888
0.00204633,-0.08997050431837607,5.068745422381896
0.00204646,-0.08997050431837103,5.072409632378744
0.00204659,-0.09366717434585722,5.065081212385046
0.00204672,-0.08997050431837776,5.068745422381896
0.00204685,-0.09736384437333669,5.068745422381903
0.00204698,-0.09366717434586058,5.072409632378742
0.00204711,-0.09736384437334342,5.068745422381896
0.00204724,-0.08997050431837271,5.068745422381897
0.00204737,-0.09366717434584881,5.072409632378737
0.0020475,-0.1380272146756311,0.2173313865594499
0.00204763,-0.05670047407103217,-0.009849633251754225
0.00204776,-0.0751838242084262,-0.05382015321405453
0.00204789,-0.08627383429088817,-0.07580541319516301
0.00204802,-0.08997050431837776,-0.08679804318572228
0.00204815,-0.09366717434585387,-0.09779067317624154
0.00204828,-0.08997050431837271,-0.1014548831730996
0.00204841,-0.08997050431837271,-0.105119093169951
0.00204854,-0.09366717434584713,-0.105119093169951
0.00204867,-0.0862738342908949,-0.105119093169951
0.0020488,-0.08997050431836935,-0.1087833031667991
0.00204893,-0.08997050431837103,-0.105119093169951
0.00204906,2.183481562588192,-0.101454883173078
0.00204919,4.985557443420191,-0.07580541319519801
0.00204932,4.989254113447669,-0.1087833031667708
0.00204945,5.00404079355761,-0.1124475131636489
0.00204958,5.022524143695054,-0.1014548831730979
0.00204971,5.033614153777517,-0.09412646317940178
0.00204984,5.04470416385995,-0.09412646317940178
0.00204997,5.048400833887448,-0.09412646317940178
