Time (s),Channel 1 (V),Channel 2 (V)
-3.495649572649573e-05,5.065261800544709,4.969090372648209
-3.494649572649573e-05,5.083745150682141,4.987411422632458
-3.493649572649573e-05,5.006115080104967,5.002068262619849
-3.492649572649573e-05,5.087441820709589,4.987411422632465
-3.491649572649573e-05,5.083745150682141,4.987411422632458
-3.490649572649573e-05,5.050475120434765,4.998404052623007
-3.489649572649573e-05,5.091138490737113,4.998404052623007
-3.488649572649573e-05,5.07265514059969,4.976418792641918
-3.487649572649573e-05,5.050475120434765,4.998404052623007
-3.486649572649573e-05,5.087441820709627,5.002068262619856
-3.485649572649573e-05,5.057868460489737,4.998404052623007
-3.484649572649573e-05,5.072655140599684,5.009396682613554
-3.483649572649573e-05,5.076351810627168,5.005732472616707
-3.482649572649573e-05,5.050475120434765,4.994739842626157
-3.481649572649573e-05,5.057868460489737,5.016725102607255
-3.480649572649573e-05,5.072655140599667,5.031381942594641
-3.479649572649573e-05,5.039385110352321,5.002068262619869
-3.478649572649573e-05,5.076351810627168,5.016725102607255
-3.477649572649573e-05,5.068958470572196,5.035046152591505
-3.476649572649573e-05,5.050475120434778,5.002068262619854
-3.475649572649573e-05,5.080048480654641,4.998404052623009
-3.474649572649573e-05,5.028295100269847,5.024053522600955
-3.473649572649573e-05,5.087441820709627,5.013060892610406
-3.472649572649573e-05,5.076351810627168,5.024053522600955
-3.471649572649573e-05,5.039385110352323,5.031381942594651
-3.470649572649573e-05,5.076351810627168,5.038710362588354
-3.469649572649573e-05,5.076351810627168,5.009396682613556
-3.468649572649573e-05,5.031991770297334,5.020389312604106
-3.467649572649573e-05,5.09853183079207,5.016725102607261
-3.466649572649573e-05,5.065261800544709,5.027717732597806
-3.465649572649573e-05,5.061565130517224,5.038710362588354
-3.464649572649573e-05,5.102228500819572,5.046038782582054
-3.463649572649573e-05,5.080048480654632,5.013060892610406
-3.462649572649573e-05,5.031991770297356,5.013060892610406
-3.461649572649573e-05,5.068958470572196,5.053367202575753
-3.460649572649573e-05,5.072655140599682,5.013060892610406
-3.459649572649573e-05,5.068958470572209,5.031381942594651
-3.458649572649573e-05,5.098531830792072,5.024053522600958
-3.457649572649573e-05,5.057868460489737,5.020389312604106
-3.456649572649573e-05,5.076351810627168,5.009396682613556
-3.455649572649573e-05,5.061565130517224,5.057031412572602
-3.454649572649573e-05,5.072655140599677,5.031381942594666
-3.453649572649573e-05,5.098531830792085,5.038710362588354
-3.452649572649573e-05,5.057868460489737,5.042374572585205
-3.451649572649573e-05,5.065261800544709,5.016725102607255
-3.450649572649573e-05,5.076351810627138,5.03138194259466
-3.449649572649573e-05,5.009811750132417,5.042374572585205
-3.448649572649573e-05,5.102228500819572,5.035046152591505
-3.447649572649573e-05,5.083745150682141,5.020389312604106
-3.446649572649573e-05,5.057868460489757,5.049702992578906
-3.445649572649573e-05,5.102228500819572,5.053367202575753
-3.444649572649573e-05,5.098531830792085,5.016725102607255
-3.443649572649573e-05,5.031991770297334,5.046038782582054
-3.442649572649573e-05,5.098531830792083,5.038710362588347
-3.441649572649573e-05,5.094835160764601,5.024053522600962
-3.440649572649573e-05,5.046778450407278,5.046038782582054
-3.439649572649573e-05,5.102228500819572,5.053367202575753
-3.438649572649573e-05,5.061565130517224,5.020389312604106
-3.437649572649573e-05,5.05047512043477,5.046038782582042
-3.436649572649573e-05,5.083745150682141,5.042374572585205
-3.435649572649573e-05,5.076351810627168,5.046038782582054
-3.434649572649573e-05,5.083745150682141,5.038710362588354
-3.433649572649573e-05,5.083745150682133,5.053367202575745
-3.432649572649573e-05,5.065261800544709,5.035046152591505
-3.431649572649573e-05,5.076351810627168,5.035046152591505
-3.430649572649573e-05,5.046778450407278,5.079016672553701
-3.429649572649573e-05,5.068958470572216,5.035046152591505
-3.428649572649573e-05,5.11331851090203,5.035046152591505
-3.427649572649573e-05,5.054171790462251,5.049702992578904
-3.426649572649573e-05,5.065261800544709,5.046038782582054
-3.425649572649573e-05,5.09483516076457,5.053367202575759
-3.424649572649573e-05,5.031991770297362,5.064359832566296
-3.423649572649573e-05,5.087441820709627,5.049702992578904
-3.422649572649573e-05,5.102228500819572,5.038710362588354
-3.421649572649573e-05,5.028295100269847,5.068024042563152
-3.420649572649573e-05,5.068958470572177,5.064359832566304
-3.419649572649573e-05,5.091138490737113,5.027717732597806
-3.418649572649573e-05,5.031991770297334,5.068024042563152
-3.417649572649573e-05,5.072655140599682,5.049702992578904
-3.416649572649573e-05,5.054171790462259,5.035046152591512
-3.415649572649573e-05,5.039385110352306,5.060695622569453
-3.414649572649573e-05,5.098531830792085,5.038710362588354
-3.413649572649573e-05,5.076351810627168,5.035046152591505
-3.412649572649573e-05,5.054171790462267,5.075352462556847
-3.411649572649573e-05,5.091138490737113,5.064359832566302
-3.410649572649573e-05,5.083745150682141,5.024053522600955
-3.409649572649573e-05,5.091138490737113,5.064359832566302
-3.408649572649573e-05,5.087441820709615,5.068024042563137
-3.407649572649573e-05,5.061565130517235,5.03504615259152
-3.406649572649573e-05,5.087441820709627,5.049702992578904
-3.405649572649573e-05,5.076351810627168,5.057031412572602
-3.404649572649573e-05,5.068958470572203,5.035046152591507
-3.403649572649573e-05,5.083745150682134,5.038710362588352
-3.402649572649573e-05,5.072655140599682,5.060695622569453
-3.401649572649573e-05,5.076351810627168,5.046038782582054
-3.400649572649573e-05,5.102228500819572,5.035046152591505
-3.399649572649573e-05,5.031991770297366,5.068024042563137
-3.398649572649573e-05,5.094835160764599,5.057031412572602
-3.397649572649573e-05,5.102228500819572,5.060695622569453
-3.396649572649573e-05,5.061565130517224,5.060695622569453
-3.395649572649573e-05,5.080048480654662,5.05336720257575
-3.394649572649573e-05,5.098531830792085,5.046038782582054
-3.393649572649573e-05,5.024598430242361,5.064359832566302
-3.392649572649573e-05,5.087441820709627,5.071688252560001
-3.391649572649573e-05,5.065261800544699,5.035046152591517
-3.390649572649573e-05,5.043081780379802,5.060695622569441
-3.389649572649573e-05,5.102228500819572,5.071688252560001
