Time (s),SCL (V)
-8.191989830508475e-05,4.837690642320738
-8.189989830508475e-05,-0.1010605144008296
-8.187989830508474e-05,-0.1121505244832882
-8.185989830508475e-05,-0.1047571844283158
-8.183989830508475e-05,-0.1121505244832882
-8.181989830508475e-05,-0.108453854455802
-8.179989830508474e-05,-0.09736384437334342
-8.177989830508475e-05,-0.108453854455802
-8.175989830508475e-05,-0.1010605144008296
-8.173989830508475e-05,-0.09366717434585722
-8.171989830508474e-05,-0.1121505244832882
-8.169989830508474e-05,-0.1010605144008296
-8.167989830508475e-05,-0.09736384437334342
-8.165989830508475e-05,-0.1010605144008296
-8.163989830508475e-05,-0.108453854455802
-8.161989830508474e-05,-0.1047571844283158
-8.159989830508475e-05,-0.1121505244832882
-8.157989830508475e-05,-0.08997050431837103
-8.155989830508475e-05,-0.09736384437334342
-8.153989830508474e-05,-0.09366717434585722
-8.151989830508475e-05,-0.1010605144008296
-8.149989830508475e-05,-0.09366717434585722
-8.147989830508475e-05,-0.09366717434585722
-8.145989830508474e-05,-0.0788804942359124
-8.143989830508475e-05,-0.1047571844283158
-8.141989830508475e-05,-0.09366717434585722
-8.139989830508475e-05,-0.1010605144008296
-8.137989830508474e-05,-0.09366717434585722
-8.135989830508474e-05,-0.09736384437334342
-8.133989830508475e-05,-0.1010605144008296
-8.131989830508475e-05,-0.08997050431837103
-8.129989830508475e-05,-0.09366717434585722
-8.127989830508474e-05,-0.09736384437334342
-8.125989830508475e-05,-0.1047571844283158
-8.123989830508475e-05,-0.08257716426339862
-8.121989830508475e-05,-0.08997050431837103
-8.119989830508474e-05,-0.09736384437334342
-8.117989830508475e-05,-0.08997050431837103
-8.115989830508475e-05,-0.1010605144008296
-8.113989830508475e-05,-0.1010605144008296
-8.111989830508474e-05,-0.1010605144008296
-8.109989830508475e-05,-0.09736384437334342
-8.107989830508475e-05,-0.08627383429088481
-8.105989830508475e-05,-0.09366717434585722
-8.103989830508474e-05,-0.08997050431837103
-8.101989830508474e-05,-0.08997050431837103
-8.099989830508475e-05,-0.09736384437334342
